Series Code,Country Name,Country Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
MS.MIL.XPND.GD.ZS,Portugal,PRT,2.437508341,2.423110546,2.390390222,2.365579825,2.226155753,2.260288158,2.120795734,2.040702659,1.883733342,1.888010565,1.862356047,1.912719868,1.938563127,1.885216531,1.965918023,2.047303882,1.949969959,1.818055227,1.836558719,2.03079895,1.980216597,2.002650015,1.912137076,2.089630624,1.790511278,1.787974411,2.004023694,1.67187887,1.764707683,1.781460884,1.88667391,2.072757362,NA
MS.MIL.XPND.GD.ZS,Romania,ROU,4.547415049,4.773334664,4.247682517,2.740608015,3.114728408,2.613447685,2.369072926,3.017649962,3.004174864,2.640259267,2.498914184,2.420745188,2.287296075,2.088487134,2.007657561,1.981935276,1.822571075,1.49361826,1.399984366,1.278069612,1.254421591,1.298162661,1.232382746,1.285382818,1.345998582,1.451968796,1.406136954,1.721071687,1.805241726,1.843956013,2.030886682,1.95392292,NA
MS.MIL.XPND.GD.ZS,Slovak Republic,SVK,NA,NA,NA,1.996360321,1.939519014,3.154558108,2.973828668,2.283116245,1.744336533,1.57382655,1.655312382,1.84316099,1.77602684,1.841111076,1.652006017,1.681440946,1.596512608,1.478388924,1.459385052,1.516486667,1.259740404,1.074265864,1.079159532,0.9791969408,0.9859734913,1.114488089,1.1195561,1.107257552,1.227775557,1.711891199,1.950493669,1.705815802,NA
MS.MIL.XPND.GD.ZS,Slovenia,SVN,NA,NA,2.247233332,1.81730135,1.654074662,1.573034776,1.536362812,1.401368318,1.361182469,1.211302468,1.093166275,1.300482474,1.387618576,1.403798337,1.430651945,1.420197162,1.542182213,1.442914542,1.492919141,1.586156825,1.603125212,1.292170764,1.166791234,1.046948256,0.9737395882,0.9301195316,1.004287078,0.9818310887,0.9781147894,1.057303395,1.061425289,1.218075787,NA
MS.MIL.XPND.GD.ZS,Spain,ESP,2.293305209,2.129192231,2.042803676,2.011871737,2.001337402,1.917022395,1.814439016,1.722815679,1.757319949,1.755234589,1.725517988,1.629584033,1.455973702,1.422544393,1.43022118,1.387177754,1.370007461,1.363106312,1.367620485,1.358353837,1.387378124,1.331876555,1.423637303,1.272770663,1.254459104,1.270823783,1.13772804,1.230690776,1.25495924,1.233832245,1.363066737,1.370781522,NA
MS.MIL.XPND.GD.ZS,Turkiye,TUR,3.527705694,3.754364248,3.8705665,3.921417254,4.051359337,3.901649735,4.139696943,4.103672231,3.184500909,3.889017374,3.66109467,3.603457075,3.795926881,3.296047173,2.697983717,2.409370506,2.35952228,2.217929321,2.199273923,2.489311742,2.271714219,2.027506592,2.009447799,1.923959333,1.871966551,1.812848293,2.050324605,2.050065818,2.523695409,2.689873364,2.432211958,2.063896462,NA
MS.MIL.XPND.GD.ZS,United Kingdom,GBR,3.983217695,4.116802423,3.864717766,3.590649512,3.381933718,2.854199491,2.724592322,2.560148772,2.495962275,2.422909593,2.372796645,2.411122101,2.485659675,2.552062015,2.497821368,2.434203228,2.3634402,2.364443104,2.480904021,2.638817845,2.568295876,2.488683027,2.40708633,2.277243346,2.168594616,2.029044773,1.959894966,1.919980402,1.919549198,1.976479596,2.240798153,2.22322827,NA
MS.MIL.XPND.GD.ZS,United States,USA,5.605175294,4.883429398,4.970466808,4.604350295,4.215264675,3.860245792,3.554982206,3.405562244,3.201558499,3.085676783,3.112242147,3.123809803,3.447618099,3.827161045,4.016312736,4.090034876,4.041627237,4.079655081,4.463827356,4.88559968,4.922641677,4.840173995,4.477401219,4.046678879,3.69589465,3.477845166,3.413464208,3.309387532,3.311158561,3.42619487,3.717885064,3.483215756,NA
MS.MIL.XPND.GD.ZS,Russian Federation,RUS,NA,NA,4.427032321,4.181324647,4.523700655,3.784429967,3.756558821,4.039809297,2.732649089,3.073287922,3.307029837,3.546319229,3.756277391,3.67083809,3.300353647,3.330103192,3.245254379,3.118542079,3.149486017,3.924063399,3.585085721,3.433043838,3.689240435,3.854042583,4.112992978,4.871514747,5.425147705,4.248996052,3.692518759,3.832115681,4.263449836,4.080066196,NA
MS.MIL.XPND.GD.ZS,Ukraine,UKR,NA,NA,NA,0.3523528774,1.798340267,2.035957432,2.190786309,2.79497911,2.105981713,1.900756188,2.151049237,1.886871078,1.984684246,2.124209046,1.9670586,2.405748995,2.387745638,2.472527403,2.302741144,1.908981904,1.902361022,1.533641241,1.613319917,1.579291679,2.245020521,3.251180763,3.154776603,2.884401519,3.192353265,3.520152416,3.811849481,3.228346937,NA
